iter	R2	RMSE
0	0.04698108516	324433.5517
1	0.08866939662	317258.2893
2	0.1269395401	310525.4221
3	0.1617820601	304266.0361
4	0.1940041037	298360.5618
5	0.2232586242	292895.8517
6	0.249397383	287925.4392
7	0.2732495811	283313.7459
8	0.2950739122	279027.3615
9	0.3148990703	275075.7332
10	0.3329516676	271427.3785
11	0.3494502149	268049.6656
12	0.3642061479	264992.244
13	0.3778730714	262128.6561
14	0.3904655206	259462.2259
15	0.4015273329	257097.09
16	0.4121604426	254802.9224
17	0.4213528929	252802.8082
18	0.4296652748	250980.4584
19	0.4382042099	249094.5589
20	0.445223583	247533.5079
21	0.4524708084	245911.3875
22	0.4589530203	244451.3778
23	0.4648884843	243106.8239
24	0.4700114649	241940.3131
25	0.4750767715	240781.3785
26	0.4793356601	239802.6168
27	0.483379389	238869.5906
28	0.4871049563	238006.7379
29	0.4906822195	237175.2788
30	0.4941622416	236363.6147
31	0.4974693575	235589.687
32	0.5004703187	234885.1984
33	0.5030623594	234275.0006
34	0.5055087392	233697.6317
35	0.5076389669	233193.7133
36	0.5098042613	232680.3812
37	0.5116991067	232230.2343
38	0.5133708131	231832.3713
39	0.5149568611	231454.2628
40	0.5164425723	231099.5129
41	0.5177950795	230776.0947
42	0.5190912769	230465.7156
43	0.5209260983	230025.645
44	0.5226388813	229614.0835
45	0.5242161709	229234.4258
46	0.525315081	228969.5433
47	0.5265901895	228661.8051
48	0.5275445711	228431.2008
49	0.5287720484	228134.2665
50	0.5296994729	227909.6602
51	0.5306044668	227690.2726
52	0.5320738376	227333.6185
53	0.5330342832	227100.191
54	0.5339509981	226877.1678
55	0.5345100072	226741.0614
56	0.5351188491	226592.7289
57	0.5363672357	226288.2795
58	0.5374762826	226017.4676
59	0.538684322	225722.1135
60	0.5396881813	225476.3852
61	0.5402100554	225348.5331
62	0.5407331436	225220.3108
63	0.5417333254	224974.9371
64	0.5420843983	224888.7452
65	0.5425331345	224778.5279
66	0.5435686309	224523.9857
67	0.5445192649	224290.0498
68	0.5449489084	224184.2412
69	0.5453519741	224084.9326
70	0.5456828693	224003.3727
71	0.5464116115	223823.6455
72	0.5472341597	223620.6098
73	0.5476295675	223522.9427
74	0.5479005691	223455.9798
75	0.5484129914	223329.3082
76	0.5489994733	223184.2407
77	0.549250261	223122.1791
78	0.5495865642	223038.9281
79	0.5498222189	222980.5739
80	0.5503373477	222852.9615
81	0.5505068077	222810.9653
82	0.5506777137	222768.6028
83	0.5509090188	222711.2562
84	0.5511471724	222652.1963
85	0.5517275989	222508.1903
86	0.5519233022	222459.6145
87	0.5523272065	222359.3274
88	0.5525148394	222312.7238
89	0.5530214997	222186.8326
90	0.5533329395	222109.4129
91	0.5535210428	222062.6399
92	0.5538001791	221993.2128
93	0.554073601	221925.186
94	0.554252383	221880.6942
95	0.5544244752	221837.8587
96	0.5546518612	221781.2473
97	0.5549085166	221717.3315
98	0.5551625765	221654.044
99	0.5553727121	221601.6845
100	0.555609151	221542.7562
101	0.5558913259	221472.4085
102	0.5561375971	221410.9936
103	0.5562406787	221385.2821
104	0.5565378806	221311.1348
105	0.5567609288	221255.4713
106	0.5569734813	221202.4141
107	0.5572971734	221121.5899
108	0.5577085317	221018.8332
109	0.5578660004	220979.4851
110	0.5580106935	220943.3232
111	0.5581889494	220898.7651
112	0.5583486791	220858.8303
113	0.5587406416	220760.8032
114	0.5589221994	220715.3821
115	0.5591451231	220659.5995
116	0.559546287	220559.18
117	0.5597493126	220508.3412
118	0.5601639565	220404.4754
119	0.5603317024	220362.4422
120	0.5604324162	220337.2018
121	0.5605487478	220308.0437
122	0.560687918	220273.1562
123	0.5608131415	220241.7601
124	0.5612250834	220138.4463
125	0.5613745372	220100.9518
126	0.5615328749	220061.2215
127	0.5617199519	220014.2707
128	0.5618055554	219992.7834
129	0.5619411526	219958.7429
130	0.5620639403	219927.9135
131	0.5622435366	219882.813
132	0.5624097083	219841.0755
133	0.5625780939	219798.7738
134	0.5626759802	219774.1791
135	0.5628148381	219739.2853
136	0.5630532685	219679.3568
137	0.5633585204	219602.6092
138	0.5635549542	219553.2069
139	0.5636857427	219520.3079
140	0.5637651225	219500.338
141	0.5641810569	219395.6702
142	0.5643471824	219353.8516
143	0.5644215182	219335.1365
144	0.5644917924	219317.4425
145	0.5645819214	219294.7473
146	0.5646644227	219273.9708
147	0.5648841601	219218.6241
148	0.5649617157	219199.0863
149	0.5650418028	219178.909
150	0.5651984686	219139.4329
151	0.5654136897	219085.1906
152	0.5655201464	219058.3553
153	0.565742403	219002.3188
154	0.5660084586	218935.2207
155	0.5660688447	218919.9888
156	0.5661886864	218889.7564
