iter	Passed	Remaining
0	208	208143
1	342	171050
2	455	151230
3	576	143562
4	722	143690
5	831	137761
6	916	129941
7	1021	126645
8	1102	121349
9	1360	134684
10	1474	132590
11	1577	129896
12	1670	126860
13	1766	124429
14	1874	123088
15	1975	121498
16	2113	122223
17	2243	122421
18	2339	120777
19	2434	119284
20	2507	116905
21	2621	116531
22	2725	115765
23	2840	115505
24	2947	114934
25	3042	113969
26	3145	113364
27	3268	113466
28	3383	113281
29	3478	112461
30	3570	111598
31	3676	111226
32	3775	110635
33	3883	110339
34	3986	109927
35	4109	110046
36	4216	109752
37	4327	109562
38	4447	109588
39	4549	109198
40	4676	109373
41	4800	109501
42	4911	109317
43	5019	109069
44	5132	108924
45	5223	108324
46	5317	107816
47	5418	107473
48	5503	106806
49	5619	106764
50	5711	106286
51	5808	105884
52	5920	105794
53	5992	104988
54	6074	104373
55	6184	104251
56	6286	104001
57	6392	103817
58	6495	103597
59	6587	103210
60	6722	103482
61	6819	103174
62	6903	102682
63	7022	102699
64	7108	102259
65	7204	101951
66	7339	102200
67	7447	102068
68	7528	101576
69	7614	101165
70	7711	100904
71	7820	100792
72	7934	100757
73	8014	100286
74	8125	100212
75	8258	100403
76	8354	100140
77	8451	99906
78	8558	99773
79	8684	99869
80	8792	99758
81	8885	99471
82	8996	99399
83	9109	99339
84	9206	99100
85	9305	98892
86	9417	98830
87	9543	98907
88	9627	98549
89	9736	98449
90	9870	98598
91	9974	98447
92	10054	98060
93	10137	97703
94	10225	97411
95	10294	96936
96	10366	96504
97	10441	96105
98	10517	95722
99	10596	95368
100	10655	94846
101	10724	94415
102	10832	94337
103	10887	93804
104	10973	93533
105	11066	93335
106	11142	92990
107	11241	92842
108	11349	92777
109	11442	92576
110	11525	92310
111	11605	92016
112	11712	91939
113	11837	92000
114	11917	91710
115	12017	91584
116	12139	91617
117	12234	91450
118	12340	91361
119	12456	91344
120	12543	91122
121	12625	90860
122	12719	90687
123	12804	90457
124	12912	90385
125	13025	90352
126	13129	90254
127	13241	90205
128	13342	90085
129	13433	89899
130	13516	89664
131	13626	89604
132	13705	89343
133	13812	89267
134	13890	89002
135	13955	88660
136	14036	88421
137	14146	88363
138	14236	88183
139	14310	87905
140	14371	87551
141	14467	87415
142	14564	87282
143	14638	87017
144	14727	86841
145	14790	86514
146	14857	86211
147	14925	85923
148	15003	85692
149	15060	85344
150	15151	85188
151	15232	84978
152	15305	84729
153	15417	84695
154	15542	84730
155	15626	84542
156	15723	84425
157	15817	84292
158	15928	84249
159	16005	84030
160	16133	84075
161	16209	83848
162	16267	83532
163	16376	83481
164	16444	83221
165	16536	83078
166	16660	83104
167	16737	82890
168	16836	82787
169	16914	82580
170	16989	82366
171	17070	82177
172	17170	82081
173	17252	81901
174	17372	81898
175	17455	81722
176	17551	81607
177	17652	81520
178	17758	81451
179	17865	81385
180	17938	81170
181	18019	80990
182	18137	80972
183	18266	81009
184	18341	80803
185	18415	80593
186	18480	80345
187	18560	80166
188	18629	79939
189	18705	79744
190	18798	79625
191	18913	79595
192	19003	79461
193	19112	79406
194	19181	79185
195	19278	79080
196	19394	79055
197	19461	78827
198	19524	78589
199	19594	78377
200	19660	78152
201	19758	78057
202	19863	77985
203	19942	77815
204	20056	77779
205	20145	77648
206	20247	77566
207	20357	77516
208	20466	77458
209	20549	77307
210	20627	77134
211	20722	77026
212	20798	76847
213	20872	76663
214	20951	76498
215	21058	76436
216	21128	76239
217	21213	76095
218	21281	75895
219	21369	75764
220	21465	75661
221	21557	75547
222	21649	75434
223	21735	75298
224	21813	75137
225	21885	74952
226	21958	74773
227	22058	74690
228	22154	74590
229	22211	74358
230	22289	74200
231	22375	74069
232	22485	74018
233	22561	73856
234	22633	73677
235	22687	73445
236	22757	73266
237	22806	73018
238	22879	72850
239	22946	72664
240	23065	72641
241	23167	72567
242	23260	72460
243	23337	72307
244	23428	72197
245	23511	72062
246	23587	71907
247	23692	71842
248	23783	71732
249	23875	71626
250	23945	71455
251	24020	71297
252	24144	71288
253	24234	71176
254	24331	71086
255	24429	70997
256	24515	70874
257	24584	70704
258	24652	70530
259	24718	70351
260	24814	70261
261	24889	70107
262	25008	70081
263	25096	69965
264	25205	69908
265	25292	69792
266	25394	69715
267	25450	69514
268	25514	69333
269	25589	69186
270	25672	69060
271	25764	68957
272	25846	68828
273	25934	68715
274	26044	68662
275	26155	68610
276	26230	68464
277	26340	68409
278	26464	68389
279	26537	68239
280	26640	68165
281	26741	68086
282	26822	67957
283	26911	67847
284	27028	67808
285	27153	67789
286	27243	67682
287	27331	67568
288	27425	67471
289	27611	67600
290	27759	67633
291	27877	67593
292	27991	67542
293	28076	67422
294	28165	67311
295	28215	67107
296	28325	67046
297	28430	66973
298	28498	66813
299	28616	66771
300	28716	66687
301	28824	66619
302	28974	66650
303	29095	66613
304	29245	66640
305	29408	66697
306	29541	66684
307	29623	66557
308	29737	66499
309	29856	66454
310	29974	66406
311	30064	66296
312	30156	66189
313	30252	66093
314	30343	65984
315	30462	65938
316	30548	65819
317	30635	65702
318	30725	65593
319	30846	65549
320	30962	65494
321	31054	65388
322	31191	65375
323	31298	65301
324	31446	65311
325	31527	65183
326	31615	65068
327	31702	64950
328	32046	65360
329	32228	65434
330	32345	65375
331	32447	65285
332	32562	65222
333	32696	65197
334	32824	65159
335	32907	65030
336	33028	64978
337	33113	64855
338	33230	64794
339	33348	64734
340	33459	64661
341	33565	64579
342	33645	64446
343	33743	64348
344	33842	64251
345	33953	64177
346	34055	64086
347	34144	63971
348	34225	63841
349	34347	63788
350	34471	63738
351	34553	63609
352	34673	63552
353	34767	63446
354	34874	63364
355	34981	63280
356	35039	63111
357	35129	62996
358	35252	62944
359	35373	62886
360	35464	62775
361	35575	62699
362	35675	62603
363	36006	62911
364	36131	62859
365	36271	62831
366	36390	62766
367	36554	62777
368	36659	62689
369	36740	62557
370	36840	62459
371	36913	62316
372	36992	62182
373	37048	62011
374	37141	61903
375	37226	61779
376	37316	61665
377	37390	61526
378	37472	61398
379	37575	61306
380	37683	61222
381	37774	61112
382	37866	61001
383	37945	60871
384	38035	60757
385	38138	60666
386	38230	60556
387	38331	60461
388	38417	60342
389	38513	60238
390	38618	60149
391	38677	59989
392	38793	59917
393	38895	59824
394	38976	59697
395	39076	59601
396	39211	59557
397	39310	59459
398	39396	59341
399	39454	59181
400	39575	59117
401	39725	59093
402	39824	58995
403	39942	58925
404	40028	58806
405	40124	58703
406	40237	58625
407	40322	58507
408	40436	58430
409	40527	58319
410	40625	58220
411	40681	58060
412	40762	57936
413	40856	57830
414	40924	57688
415	41026	57595
416	41101	57463
417	41201	57367
418	41292	57258
419	41380	57144
420	41447	57002
421	41540	56896
422	41650	56813
423	41753	56721
424	41842	56610
425	41924	56489
426	42011	56376
427	42067	56220
428	42160	56115
429	42233	55983
430	42323	55874
431	42399	55747
432	42516	55673
433	42626	55590
434	42723	55491
435	42820	55391
436	42930	55309
437	43046	55233
438	43137	55125
439	43251	55047
440	43354	54954
441	43440	54840
442	43517	54716
443	43609	54610
444	43726	54534
445	43835	54450
446	43905	54317
447	44017	54236
448	44101	54120
449	44201	54024
450	44279	53901
451	44359	53781
452	44418	53635
453	44514	53534
454	44602	53424
455	44659	53278
456	44746	53167
457	44802	53019
458	44905	52928
459	44978	52801
460	45080	52708
461	45187	52621
462	45270	52506
463	45371	52411
464	45454	52296
465	45525	52168
466	45624	52072
467	45690	51938
468	45796	51850
469	45864	51719
470	45961	51621
471	46088	51556
472	46164	51434
473	46260	51335
474	46358	51238
475	46516	51207
476	46610	51105
477	46711	51011
478	46783	50885
479	46856	50760
480	46974	50686
481	47090	50607
482	47288	50616
483	47407	50541
484	47493	50430
485	47595	50337
486	47677	50223
487	47755	50104
488	47860	50013
489	47920	49876
490	48050	49811
491	48121	49686
492	48209	49578
493	48325	49499
494	48433	49411
495	48543	49326
496	48621	49208
497	48700	49091
498	48771	48967
499	48880	48880
500	48975	48779
501	49078	48687
502	49185	48598
503	49286	48504
504	49373	48395
505	49473	48299
506	49580	48211
507	49665	48101
508	49766	48006
509	49889	47933
510	49970	47819
511	50068	47721
512	50171	47628
513	50278	47539
514	50401	47465
515	50514	47382
516	50624	47294
517	50682	47159
518	50772	47055
519	50882	46968
520	50997	46886
521	51105	46797
522	51162	46662
523	51222	46530
524	51292	46407
525	51403	46321
526	51503	46226
527	51600	46127
528	51717	46046
529	51785	45923
530	51889	45831
531	51977	45724
532	52071	45623
533	52185	45539
534	52285	45444
535	52353	45321
536	52430	45205
537	52527	45107
538	52658	45038
539	52775	44957
540	52859	44847
541	52976	44766
542	53049	44647
543	53156	44557
544	53251	44457
545	53356	44366
546	53444	44260
547	53529	44152
548	53621	44049
549	53721	43954
550	53839	43872
551	53948	43784
552	54041	43682
553	54167	43607
554	54270	43514
555	54372	43419
556	54473	43324
557	54558	43216
558	54672	43131
559	54753	43020
560	54873	42940
561	54985	42853
562	55068	42743
563	55160	42641
564	55259	42544
565	55346	42438
566	55462	42354
567	55566	42262
568	55667	42166
569	55784	42083
570	55871	41977
571	55989	41894
572	56104	41809
573	56207	41715
574	56298	41611
575	56422	41533
576	56510	41427
577	56590	41317
578	56674	41209
579	56777	41114
580	56888	41026
581	56982	40925
582	57095	40838
583	57199	40744
584	57328	40669
585	57424	40569
586	57524	40473
587	57616	40370
588	57703	40264
589	57799	40165
590	57901	40070
591	58015	39983
592	58107	39881
593	58206	39784
594	58299	39682
595	58405	39590
596	58533	39512
597	58636	39417
598	58747	39328
599	58851	39234
600	58937	39128
601	59056	39044
602	59183	38965
603	59329	38898
604	59416	38792
605	59537	38709
606	59669	38632
607	59778	38541
608	59904	38461
609	60061	38400
610	60183	38316
611	60299	38229
612	60427	38149
613	60535	38056
614	60636	37959
615	60821	37914
616	60955	37838
617	61051	37737
618	61184	37659
619	61300	37571
620	61396	37470
621	61487	37366
622	61585	37267
623	61651	37148
624	61760	37056
625	61863	36959
626	61968	36864
627	62050	36755
628	62147	36655
629	62251	36560
630	62352	36462
631	62417	36344
632	62535	36256
633	62636	36159
634	62733	36059
635	62839	35964
636	62933	35863
637	63044	35771
638	63142	35672
639	63211	35556
640	63282	35442
641	63376	35340
642	63454	35230
643	63543	35126
644	63635	35024
645	63741	34929
646	63862	34842
647	63965	34746
648	64078	34655
649	64175	34555
650	64256	34447
651	64342	34342
652	64437	34241
653	64546	34148
654	64657	34056
655	64771	33965
656	64868	33866
657	64961	33764
658	65048	33659
659	65134	33554
660	65256	33467
661	65362	33372
662	65463	33274
663	65544	33167
664	65651	33072
665	65733	32965
666	65805	32853
667	65873	32739
668	65972	32641
669	66076	32545
670	66191	32454
